timestamp,value
2025-03-10 11:51:40,5,0
2025-03-10 11:51:45,10,0

2025-03-10 11:51:50,15,0

2025-03-10 11:51:55,20,0
2025-03-10 11:52:00,25,0

2025-03-10 11:52:05,30,0
2025-03-10 11:52:11,35,0

2025-03-10 11:52:15,40,0
2025-03-10 11:52:20,45,0

2025-03-10 11:52:25,50,0

2025-03-10 11:52:30,55,0
2025-03-10 11:52:35,60,0

2025-03-10 11:52:40,65,0
2025-03-10 11:52:45,70,0

2025-03-10 11:52:50,75,0

2025-03-10 11:52:55,80,0
2025-03-10 11:53:00,85,0

2025-03-10 11:53:05,90,0
2025-03-10 11:53:10,95,0
2025-03-10 11:53:15,100,0

2025-03-10 11:53:20,105,0
2025-03-10 11:53:25,110,0
2025-03-10 11:53:30,115,0

2025-03-10 11:53:35,120,0

2025-03-10 11:53:40,125,0

2025-03-10 11:53:45,130,0
2025-03-10 11:53:50,135,0

2025-03-10 11:53:55,140,0
2025-03-10 11:54:00,145,0
2025-03-10 11:54:05,150,0

2025-03-10 11:54:10,155,0
2025-03-10 11:54:15,160,0

2025-03-10 11:54:20,165,0

2025-03-10 11:54:25,170,0
2025-03-10 11:54:30,175,0

2025-03-10 11:54:35,180,0
2025-03-10 11:54:40,185,0

2025-03-10 11:54:45,190,0
2025-03-10 11:54:50,195,0
2025-03-10 11:54:55,200,0
2025-03-10 11:55:00,205,0

2025-03-10 11:55:05,210,0
2025-03-10 11:55:10,215,0
2025-03-10 11:55:15,220,0

2025-03-10 11:55:20,225,0

2025-03-10 11:55:25,230,0

2025-03-10 11:55:30,235,0
2025-03-10 11:55:35,240,0
2025-03-10 11:55:40,245,0
2025-03-10 11:55:45,250,0
2025-03-10 11:55:50,255,0
2025-03-10 11:55:55,260,0

2025-03-10 11:56:00,265,0
2025-03-10 11:56:05,270,0
2025-03-10 11:57:34,5,0

2025-03-10 11:57:39,10,0

2025-03-10 11:57:44,15,0
2025-03-10 11:58:13,5,0

2025-03-10 11:58:18,10,0

2025-03-10 11:58:23,15,0
2025-03-10 11:58:28,20,0

2025-03-10 11:58:36,25,0

2025-03-10 11:58:38,30,0

2025-03-10 11:58:43,35,0

2025-03-10 11:58:48,40,0

2025-03-10 11:58:53,45,0
2025-03-10 11:58:58,50,0
2025-03-10 11:59:03,55,0

2025-03-10 11:59:08,60,0

2025-03-10 11:59:13,65,0

2025-03-10 11:59:18,70,0
2025-03-10 11:59:23,75,0
2025-03-10 11:59:28,80,0

2025-03-10 11:59:33,85,0

2025-03-10 11:59:38,90,0

2025-03-10 11:59:43,95,0

2025-03-10 11:59:48,100,0
2025-03-10 11:59:53,105,0

2025-03-10 11:59:58,110,0
2025-03-10 12:00:19,5,0

2025-03-10 12:00:24,10,0

2025-03-10 12:00:29,15,0

2025-03-10 12:00:34,20,0

2025-03-10 12:00:39,25,0

2025-03-10 12:00:44,30,0
2025-03-10 12:00:49,35,0

2025-03-10 12:00:54,40,0
2025-03-10 12:00:59,45,0
2025-03-10 12:01:04,50,0
2025-03-10 12:01:09,55,0

2025-03-10 12:01:14,60,0

2025-03-10 12:01:37,5,0

2025-03-10 12:01:42,11,0

2025-03-10 12:01:48,16,0

2025-03-10 12:01:53,22,0

2025-03-10 12:01:59,27,0
2025-03-10 12:02:04,33,0
2025-03-10 12:02:10,38,0

2025-03-10 12:02:15,44,0

2025-03-10 12:03:11,5,0

2025-03-10 12:03:17,11,0

2025-03-10 12:03:22,16,0

2025-03-10 12:03:28,22,0
2025-03-10 12:03:33,27,0

2025-03-10 12:03:39,33,0
2025-03-10 12:03:44,38,0

2025-03-10 12:16:53,5,0

2025-03-10 12:16:59,11,0
2025-03-10 12:17:05,17,0

2025-03-10 12:17:10,22,0

2025-03-10 12:17:16,28,0

2025-03-10 12:17:21,33,0
2025-03-10 12:17:27,39,0

2025-03-10 12:17:32,44,0

2025-03-10 12:17:38,50,0
2025-03-10 12:17:43,55,0
2025-03-10 12:17:49,61,0
2025-03-10 12:17:54,66,0

2025-03-10 12:18:00,72,0

2025-03-10 12:18:05,77,0

2025-03-10 12:18:11,83,0
2025-03-10 12:18:16,88,0

2025-03-10 12:18:22,94,0
2025-03-10 12:18:28,100,0

2025-03-10 12:18:33,105,0

2025-03-10 12:18:39,111,0

2025-03-10 12:18:44,116,0

2025-03-10 12:18:50,122,0
2025-03-10 12:18:55,127,0

2025-03-10 12:19:01,133,0
2025-03-10 12:19:06,138,0

2025-03-10 12:19:30,5,62
2025-03-10 12:19:36,11,62

2025-03-10 12:19:41,17,11

2025-03-10 12:19:47,22,11
2025-03-10 12:19:52,28,5

2025-03-10 12:19:58,33,13

2025-03-10 12:20:04,39,29

2025-03-10 12:20:09,45,30

2025-03-10 12:20:15,50,27

2025-03-10 12:20:21,56,29

2025-03-10 12:20:26,62,28

2025-03-10 12:20:32,67,26

2025-03-10 12:20:38,73,27
2025-03-10 12:20:43,79,26

2025-03-10 12:20:49,84,25

2025-03-10 12:20:55,90,27

2025-03-10 12:21:00,95,50

2025-03-10 12:21:06,101,42
2025-03-10 12:21:11,107,27
